state,year,violent_crime_rate
United States,2024,359.1
Alabama,2024,359.9
Alaska,2024,724.1
Arizona,2024,421.9
Arkansas,2024,579.4
California,2024,486
Colorado,2024,476.3
Connecticut,2024,136
Delaware,2024,360.8
District of Columbia,2024,1005.5
Florida,2024,267.1
Georgia,2024,325.7
Hawaii,2024,217.7
Idaho,2024,230.6
Illinois,2024,289.2
Indiana,2024,312.9
Iowa,2024,243.3
Kansas,2024,438.7
Kentucky,2024,213.1
Louisiana,2024,519.8
Maine,2024,100.1
Maryland,2024,420.4
Massachusetts,2024,314.7
Michigan,2024,434.3
Minnesota,2024,256.6
Mississippi,2024,210.5
Missouri,2024,462
Montana,2024,423.5
Nebraska,2024,220.5
Nevada,2024,402
New Hampshire,2024,110.1
New Jersey,2024,217.7
New Mexico,2024,717.1
New York,2024,380.2
North Carolina,2024,375.8
North Dakota,2024,254.3
Ohio,2024,293.7
Oklahoma,2024,422.8
Oregon,2024,331
Pennsylvania,2024,245.6
Rhode Island,2024,153.6
South Carolina,2024,436.7
South Dakota,2024,362.3
Tennessee,2024,592.3
Texas,2024,389.4
Utah,2024,229.6
Vermont,2024,219.1
Virginia,2024,217.9
Washington,2024,326.1
West Virginia,2024,248.8
Wisconsin,2024,278.5
Wyoming,2024,203.4
